Reporter Identifier	VALUE
ILMN_2166696	6.349
ILMN_1725518	6.655
ILMN_1813361	6.543
ILMN_2317186	6.265
ILMN_1684694	6.687
ILMN_1776363	6.209
ILMN_1652729	6.246
ILMN_1661875	9.116
ILMN_2390609	11.1
ILMN_1651943	6.492
ILMN_2112829	6.947
ILMN_2112834	6.482
ILMN_1813139	7.196
ILMN_1811239	6.602
ILMN_1794470	9.059
ILMN_1801464	7.313
ILMN_1735364	6.606
ILMN_1660778	6.654
ILMN_1692080	6.885
ILMN_1765091	9.114
ILMN_2341382	7.31
ILMN_1778304	6.375
ILMN_1766560	7.361
ILMN_1797873	6.393
ILMN_1675483	8.987
ILMN_2251062	6.602
ILMN_1799369	6.413
ILMN_1784292	8.105
ILMN_1687351	9.703
ILMN_2185563	10.86
ILMN_1716264	6.226
ILMN_1711828	8.177
ILMN_2115218	8.75
ILMN_2108709	11.04
ILMN_1690465	6.227
ILMN_1661833	8.325
ILMN_1689908	11.09
ILMN_1794070	6.978
ILMN_2148507	8.956
ILMN_1660183	6.512
ILMN_1667830	6.149
ILMN_1790351	6.589
ILMN_1807112	6.618
ILMN_1672356	7.684
